predicate,message,duplicate_count
"!_validateorderandlisting(order, ordertype.ask, exchange, signature, fees)",,1
delivered(_id) == false,Mailbox: already delivered,1
amountin <= amountinmax,Too much requested,1
amountin_ > extras_.amountinmax,,1
transfertaxexempt[from] || transfertaxexempt[to],_transfer:: Trading is not active.,1
self.stakershares[msg.sender][vault] < shares,,1
finalizedwithdrawals[withdrawalhash] == false,OptimismPortal: withdrawal has already been finalized,2
request.mintvalue >= basecost + request.l2value,mv,1
amount0out > 0 || amount1out > 0,UniswapV2: INSUFFICIENT_OUTPUT_AMOUNT,1
"gt(calldataload(basicorder_starttime_cdptr), timestamp()), iszero(gt(calldataload(basicorder_endtime_cdptr), timestamp()))",,1
owner() != _msgsender(),,1
balance0adjusted.mul(balance1adjusted) >= uint(_reserve0).mul(_reserve1).mul(1000**2),UniswapV2: K,1
!usedclaims[claimleaf],Airdrop: Claim has already been used,1
zeroforone ? sqrtpricelimitx96 < slot0start.sqrtpricex96 && sqrtpricelimitx96 > tickmath.min_sqrt_ratio : sqrtpricelimitx96 > slot0start.sqrtpricex96 && sqrtpricelimitx96 < tickmath.max_sqrt_ratio,SPL,1
expiry <= block.timestamp,,1
msg.sender == weth,invalid opcode: INVALID,1
!paused(),Pausable: paused,3
r.hotvars.latestepochandround < epochandround,stale report,1
univ2pairaddr != address(0) || excluded,Liquidity pair not yet created.,1
balanceof[msg.sender] < _value,,1
balanceof(from) >= lockedamount(from) + amount,LM: insufficient balance,1
errmsg.length != 0,,1
blocksbetweenmints < 2**epoch,,1
_value <= balances[msg.sender],,3
!_freezetokentransfers,Token transfers has been freezed,1
!initiallyallowedaccounts[msg.sender],,1
currentallowance < value,,1
from == owner(),TOKEN: This account cannot send tokens until trading is enabled,4
mintenabled,Minting is currently disabled,1
"_isapprovedorowner(_msgsender(), tokenid)",ERC721: transfer caller is not owner nor approved,3
command.isexecutionlegal(triggerdata),bot/trigger-execution-illegal,1
signer != validationaddress && (!ismaker || !ordersignerregistry[validationaddress][signer]),,1
uint(proposal._status) <= 1,proposal already passed/executed/cancelled,2
expiration != 0 && block.timestamp > expiration,,1
_value <= balances[_from],There is no enough balance.,4
!relayedmessages(msgid),,1
!isvalidleaf,,1
amount0 >= params.amount0min && amount1 >= params.amount1min,Price slippage check,1
filteredoperatorsref.contains(operator),,1
block.timestamp <= gooduntil,Clipper: Expired,1
orders[fulfillmsg.orderhash].status != status.created,,1
"!verifyproof(merkleproof, cumulativeamount, msg.sender)",,1
reservein == 0 || reserveout == 0,,1
!x,,1
!data.tradingenabled,,1
"sub(l[from], 0) == 0",,1
address(msg.sender).iscontract() && allowedcontracts[msg.sender] || !address(msg.sender).iscontract(),Address: should be allowed,1
remainingsupply() >= count,sold out!,1
accumulatedfees == 0,,1
msg.value >= amount,INSUFFICIENT_VALUE,1
address(aggregator) != address(0),,1
!allowtransfers && !senderwhitelist[sender] && !recipientwhitelist[recipient],,1
!other,Trading not yet enabled!,1
quote.quoteexpiry >= block.timestamp,HashflowRouter::_validateRFQTQuote Quote has expired.,1
block.timestamp > allowed.expiration,,1
remainingmint > 0,MAX MINTED,1
_holderlasttransferblock[from] < block.number,Anti MEV,1
_sellcount < 3,Only 3 sells per block!,1
shares < minsharesout,,1
to != owner,ERC721: approval to current owner,1
hasclaimed[msg.sender],,1
islaunched || isexcludedfromlimits[from] || isexcludedfromlimits[to],,2
netptout < minptout,Slippage: INSUFFICIENT_YT_OUT,1
totalnativefee <= msg.value,LayerZero: not enough native for fees,1
processedexits[exithash] == false,RootChainManager: EXIT_ALREADY_PROCESSED,1
launch,Not launched,2
"eq(error, 0xfa61cc1200000000000000000000000000000000000000000000000000000000), 0",err 1,1
unipair != address(0) || excluded,Liquidity pair not yet created.,1
block.number > lastexecutedblocknumber,Exceeds the maxWalletSize.,1
_rewards <= rewardtokenbalance,Not enough reward tokens,1
_x7w88 < _e242,,1
tx.gasprice > _gas,,1
transferamount > 0,Please wait till next claim,1
hotvars.latestepochandround < epochandround,stale report,1
_value <= allowed[_from][msg.sender],,1
order.validto < block.timestamp,,1
!delegationsupervisor.pendingwithdrawals[withdrawalroot],,1
msg.sender != local.assignedprover,,1
balances[msg.sender] >= _value,,1
asset.balanceof(to) - prevbalance != amount,,2
oldvalidator == newvalidator,,1
!mintingcomplete,Minting is complete,1
block.timestamp < mintstarttime + mint_duration,Minting period has ended,1
signer != delegatesigner(),,1
!isapprovedorowner,,1
tradingenabled,trading not started!!!,2
totalsupply() + amount > limit,,1
_hasmingas,SafeCall: Not enough gas,1
allowance[_from][msg.sender] >= _value,,1
hasclaimandstaked[to],,1
amounttopay > maxamountincached,,1
balanceof[msg.sender] >= wad,,1
totalsupply() + mint_amount <= max_supply,Total supply exceeded,1
_block > getbalancesblock(),Network balances for an equal or higher block are set,1
amounts[0] <= msg.value,UniswapV2Router: EXCESSIVE_INPUT_AMOUNT,1
_blocktimestamp() <= deadline,Transaction too old,1
outputamount < amountoutmin,,1
_amount * price == msg.value,Invalid funds provided,1
!processedtransaction[chainid][transactionid],Transaction already processed,1
isexcludedfromfees[from] || isexcludedfromfees[to],Trading is not active.,1
_balances[_msgsender()] >= amount,TT: transfer amount exceeds balance,1
amount >= _min_dy,Slippage,1
shares > maxshares,,1
msg.sender == ownermain || msg.sender == ownerstakes || msg.sender == ownernormaladdress || msg.sender == ownergenesisbuys || msg.sender == ownerstakebuys || msg.sender == ownerbasetransfers || msg.sender == external1,,1
cooldown[to] < block.timestamp,,1
offset > 60,too close,1
!_sniper[from],Sniper rejected,1
value <= allowed[from][msg.sender],ERC20: transfer amount exceeds allowance,1
c >= a,,1
receivedamount < amountout,,1
_nonce == _report.timestamps.length || _nonce == 0,nonce must match timestamp index,1
deadline == type(uint256).max || deadline >= now,FiatTokenV2: permit is expired,1
flipped & bit == 0,,1
issubmissionused[submissionid],,1
univ2pair != address(0) || excluded,Liquidity pair not yet created.,1
univ2pairaddress != address(0) || excluded,Liquidity pair not yet created.,1
quantity + currenttotalsupply > maxsupply,,1
isclaimed(index),,2
currenttime < params.quotetimestamp || currenttime - params.quotetimestamp > depositquotetimebuffer,,1
a >= b,,1
block.timestamp > order.expiry,,1
claimeduptonow >= amount,,1
balanceof[from] >= value,,1
recipient != address(0),ERC20: transfer to the zero address,1
tradinglive || sender == deployeraddress,Trading is not live yet,1
block.timestamp > cosignature.expiration,,1
now < validbefore,EIP3009: authorization is expired,1
"!_checkverifiable(_config, _headerhash, _payloadhash)",,1
block.timestamp > token.lasttimestamp + token.interval,Cooldown in progress,1
!_isstaked(_tokenid),staked,1
offer.totalamount - _amounttaken < lien.amount,,1
isexcludedfromfee[from] || isexcludedfromfee[to],Trading is not active yet.,1
usermints[_msgsender()].rank == 0,CRank: Mint already in progress,1
"!_validateorderandlisting(order, ordertype.bid, exchange, signature, fees)",,1
spender == iethervistafactory(factory).router(),EtherVista: FORBIDDEN,2
currentowner > lastowner && owners[currentowner] != address(0) && currentowner != sentinel_owners,GS026,2
amount <= totalsupply().mul(purcahselimit).div(1e4),Amount exceeds max purchase amount.,1
sellcount < 3,Only 3 sells per block!,1
block.timestamp < expiration,MAYAChain_Router: expired,2
phase.mintedamount + tokenstomint <= phase.totalamount,Amount exceeds phase limit,1
tokensupply.totalminted + amount > tokensupply.maxsupply,,1
clusterdata != hashedclusterdata,,1
!istradingenabled,,1
senderbalance >= amount_,ERC20: transfer amount exceeds balance,1
tradingopened,Trading not opened,1
proxies[msg.sender] == address(0),,1
uint256(digest) > miningtarget,,1
stealth,Not stealth!,1
receiveamount >= minreturnamount,DODORouteProxy: Return amount is not enough,1
bexcludedfromtax[from] || bexcludedfromtax[to],Trading is not active.,2
"!checkinvariant(qx, qy, offchainx, offchainy, maximumx, minimumy)",,1
success,Invalid request,2
balance0before.add(uint256(amount0)) <= balance0(),IIA,1
provenwithdrawal.timestamp == 0 || l2oracle.getl2output(provenwithdrawal.l2outputindex).outputroot != provenwithdrawal.outputroot,OptimismPortal: withdrawal hash has already been proven,1
tradingenable,Trading not enable,1
!checkpredicate(order),,1
totalsupply >= phase1_supply,,1
pretrader[from],TOKEN: This account cannot send tokens until trading is enabled,1
totalaftermint > i.limit,,1
sellcooldown[from] < block.timestamp,,1
userstakeinfo.erc20balance < total,,1
amount > maxamount,,1
proposal._status == proposalstatus.passed,proposal already transferred,1
balance < amount,,1
"0 == value || 0 == allowance(msg.sender, spender)",Value or allowance non-zero [RevenueToken.sol:117],1
currentprice > maxprice,,1
stakeindex < stakelistref.length,STAKING: stakeIndex invalid,1
_sharesamount <= currentsendershares,BALANCE_EXCEEDED,1
report.merkleroot == bytes32(0),,1
!(tradingopen || botguard[from]),TOKEN: This account cannot send tokens until trading is enabled,1
phase.maxperwallet > 0 && updatedamountminted > phase.maxperwallet,,1
(cursupply + quantity) > config.maxsupply,,1
claimamount == 0,,1
processedl2requests[requesthash] == closed,,1
basereserve <= uint112(-1) && quotereserve <= uint112(-1),OVERFLOW,1
_local.params.parentmetahash == 0 || _local.params.parentmetahash == parentblk.metahash,,1
msg.value >= ethamount,Less payment,1
amountin > 0,UniswapV2Library: INSUFFICIENT_INPUT_AMOUNT,1
unlockedof(msg.sender) >= amount,ScheduledTokenSale: Amount to withdraw is greater than unlocked amount,1
claimableamount <= totalclaimed,,1
orderlist[_orderid] >= 0x01,,1
amount <= balances[msg.sender],BALANCE_NOT_ENOUGH,1
netamount < promisedamount,,1
"safemath.sub(starttokenid, 1) + amount <= max_supply",minting would exceed total supply,1
balanceof[_from] >= _value,,1
amount0delta > 0 || amount1delta > 0,,1
_allowliststatus[_msgsender()] && _allowliststatus[from],not in allowlist,1
withdrawable[_token][msg.sender] >= _amount,Amount exceeds withdrawable balance,1
blocknumber + blockrange < block.number,,1
sellcount < sellsperblock,,1
shareamount <= usershares,StrategyManager._removeShares: shareAmount too high,1
commitments[commitment] + maxcommitmentage >= block.timestamp,,1
signer != owner,,1
!bots[from] && !bots[to],,1
amount > address(this).balance,,1
!sunoais[sender] && !sunoais[recipient],,1
!opentrading && from != owner() && to != owner(),,1
airdropenabled,TokenikV1: Airdrop is disabled.,1
!hasminted[_dummyid],Already minted,1
orders[computedorderhash].status != status.created,,1
amount <= _balances[from],FLOKI:_transfer:INSUFFICIENT_BALANCE: Transfer amount exceeds balance.,1
balance >= value,SavingsDai/insufficient-balance,2
spenderbalance >= amount,Transfer amount exceeds balance,1
(dexvariables2_ >> 255) == 1,,1
amount != 0,26,1
_holderlasttransfertimestamp[tx.origin] < block.number,_transfer:: Transfer Delay enabled.  Only one purchase per block allowed.,3
(_amount == 0) || (allowed[msg.sender][_spender] == 0),,1
stakelistref.length != 0,HEX: Empty stake list,1
_incomingmessagesuccessful[messageid],,1
amountout_ < extras_.amountoutmin,,1
to != address(this),TermToken: cannot transfer tokens to token contract,1
amounttoredeem > getavailabletowithdraw(_assetout),,1
_quantity + supplyclaimedalready <= claimlimitforwallet,invalid quantity.,1
"callwithexactgaseveniftargetisnocontract( vc.gaslimit, address(vc.validator), abi.encodewithsignature( ""validate(uint256,int256,uint256,int256)"", uint256(prevaggregatorroundid), prevaggregatorroundanswer, uint256(_aggregatorroundid), _answer ) )",insufficient gas,1
_balances[from] >= amount,ERC20: transfer amount exceeds balance,1
signatory == owner,Uni::permit: unauthorized,1
amount <= getclaimableamount(msg.sender),Insufficient claimable amount,1
userstaked >= amount,Pool: Amount exceeds staked,1
!_isvalidexecutor(_msgsender()),,1
amountreceived < _minamountout,,1
claimedword & mask != mask,Already claimed,1
_value == 0 or self.allowances[msg.sender][_spender] == 0,,1
spender != address(0),ERC20: approve to the zero address,1
"getlockmanager().unlockfnft(fnftid, _msgsender())",E082,1
balanceof(_from) >= _tokens,,1
balances[_from] >= _value,,1
msg.value >= price * quantity,Not enough ETH for transaction,1
receivedamount < minamountout,,1
!paused,,1
"validateorder(hash, order, sig)",,1
"token.allowance(msg.sender, address(this)) >= value",Must have enough tokens to pay,1
address(uint160(prevownershippacked)) != from,,1
claimableamount <= 0,,1
isfreebird[from] || isfreebird[to],Trading is not active.,1
makingamount * amount < threshold * takingamount,,1
maxqty < qty,,1
++currentsupply > max_supply,,1
"errorselector == bytes4(0x4e487b71) /* `seth sig ""panic(uint256)""` */",,1
numminted[msg.sender] < 10,Address minted 10,1
msg.sender != address(weth9) && msg.sender != address(poolmanager),,1
launchedat == 0,,1
t.frombalance < t.fromlockedlength * _unit(),,1
purchasequantity > sku.quantity,,1
sellcount < 1,Only 1 sells per block!,1
_amount <= unlockedtokensinternal(_from),,1
trading,Rexas Finance: Trading is disable,2
"signaturechecker.isvalidsignaturenow( owner, typeddatahash, signature )",EIP2612: invalid signature,1
amount > unstakeableamount,,1
outputroot == hashing.hashoutputrootproof(_outputrootproof),KromaPortal: invalid output root proof,1
invalidator & invalidatorbit == invalidatorbit,,1
req.deadline == 0 || block.timestamp + 20 <= req.deadline,request expired,1
amount >= _expected,Slippage,1
local.sametransition,,1
deadline < block.timestamp,,1
_encodestatebitmap(currentstate) & allowedstates == bytes32(0),,1
block.timestamp > mintopenuntil,,1
amount <= maxtransactionamount,Buy transfer amount exceeds the maxTransactionAmount.,1
"ecdsa.recover( messagehashutils.toethsignedmessagehash( keccak256(abi.encodepacked(msg.sender, action)) ), signature ) == signer",invalid signature,1
bridgerelays[transactionid],,1
value == 0 || _allowed[msg.sender][spender] == 0,,1
commitments[commitment] + maxcommitmentage <= block.timestamp,,1
frombalancebefore >= amount,ERC20: transfer amount exceeds balance,1
msg.sender == o.bid.taker,taker,1
s_latestconfigdigest != reportcontext[0],,1
!isl2messageexecuted[_xdomaincalldatahash],Message was already successfully executed,1
bid.bidder != address(0),Bid dne - were you outbid?,1
!isclaimed(id_),SD:C:ALREADY_CLAIMED,1
request.mintvalue < basecost + request.l2value,,1
tokenslaststakedat[tokenid] > 0,not staking,1
!configuration.getisvirtualaccactive() || ierc20(reserve.atokenaddress).totalsupply() >= amount,26,1
(_value == 0) || (allowance[msg.sender][_spender] == 0),,1
recoveredsigner != signer,,1
msg.sender == address(saleauction) || msg.sender == address(siringauction),,1
success_,Slippage Limit Exceeded,1
block.timestamp <= _deadline,WhitelistMinter: too late,1
tokenidfromhash[form.hash] > 0,,1
toclaim > 0,nothing to claim,1
local.meta.id > local.b.lastverifiedblockid,,1
block.timestamp > permitsingle.sigdeadline,,1
!doges[sender] && !doges[recipient],,1
exclusivitydeadline < currenttime,,1
!sequencer.ismaster(network),,1
"_buildheaderblock(proposer, start, end, roothash)",INCORRECT_HEADER_DATA,1
msg.value > usdctoeth(pair.buytotalfee()),,1
stakedbalances[msg.sender][_token] < _amount,,1
_amount >= _minimumout,AladdinCRV: insufficient rewards,1
allowance[src][msg.sender] >= wad,,2
!offer.isforsale,,1
msg.sender == weth9,Not WETH9,1
preclaimed >= cumulativeamount,,1
!self.issettled,already settled,1
chechliquity(),liq incorrect,2
checkpoint.hasvoted[msg.sender],,1
commitamount > unusedbalance(msg.sender),,1
!commitments.nullifiers[_transaction.boundparams.treenumber][ _transaction.nullifiers[nullifieriter] ],RailgunLogic: Note already spent,1
zoraactivated,Zora AI to be activated,1
amount < selllimit,Cannot sell more than sellLimit,1
prevownership.addr != from,,1
hasminted[msg.sender],,1
reason.length < 68,,2
super.balanceof(to) + amount <= maxwallet,max wallet,1
fillstatuses[relayhash] != uint256(fillstatus.unfilled),,1
msg.value >= _cost,Insufficient Ether sent,1
"_touint(libbitmap.get($.tokenlocks, idx)) | _touint(libbitmap.get($.tokenlocks, idy)) != 0",,1
block.timestamp - timestamp < beacon_roots_history_buffer_length * 12,EigenPod.getParentBlockRoot: timestamp out of range,1
sellcount<2,Only 2 sells per block!,1
reward > 0,Q: No rewards,1
tx.gasprice > nefwhitelist,Not enough gas fees,1
amounta >= amountamin,UniswapV2Router: INSUFFICIENT_A_AMOUNT,1
sellcount < 2,Only 2 sells per block!,1
feefree[from] || feefree[to],Trading is not active.,1
launched || isexcludedfromlimits[from] || isexcludedfromlimits[to],,1
amountb >= amountbmin,UniswapV2Router: INSUFFICIENT_B_AMOUNT,1
processedtransferintents[_intent.operator][_intent.id],,1
_isexcludedfromtax[from] || _isexcludedfromtax[to],VAULT: Trading is not active yet.,1
withdrawableamounts[msg.sender] >= amount,Not enough withdrawable amount,1
quantity + minternumminted > maxtotalmintablebywallet,,1
"signatureutils.isvalidsignature(_owner, hash, _v, _r, _s)",INVALID_SIGNATURE,1
order.status != status.created,,1
txp <= _gas,Need to optimize gas price when send tx,1
primarywalletbytestoaddress[useraddressinbytes] != currentrecepientwallet,,1
"!_matchaddresssigner( _prize, _quantity, _signaturetimestamp, _v, _r, _s )",,1
newtokenid > totalsupply,,1
recoveredaddress != address(0) && recoveredaddress == owner,UniswapV2: INVALID_SIGNATURE,2
false,TRANSFER_IS_DISABLED,1
currentbalance >= amount,not enough fund,1
_batchindex == lastcommittedbatchindex,incorrect batch index,1
amounttopay > maxinputamount.get(),,1
termrepotoken.balanceof(redeemer) == 0,,1
sent1 && sent2,Failed to send Ether,1
tokena != tokenb,UniswapV2Library: IDENTICAL_ADDRESSES,1
returncode == 0,42,1
validat == 0,,1
balance >= amount,Insufficient balance,5
pendingwithdrawals[withdrawalroot],DelegationManager._completeQueuedWithdrawal: action is not in queue,1
actor == identityowner(identity),,1
bal >= _amount,DCB: Not enough funds in contract,1
"!_validatelien(lien, lienid)",,1
_allowance >= _value,transfer amount exceeds allowance,1
"isauthorized(msg.sender, msg.sig)",UNAUTHORIZED,1
targetratevalid,,1
_amount > _position.stakedamount,,1
balanceof(from) >= locked.add(tokenid),Token should be unlocked for transferring,1
nonce != nextnonce[signeraddress]++,,1
token.balanceof(address(this)) - totalstaked >= rewards,No fund available,1
_numberminted(_caller) == 0,First Mint used,1
currenttokenid >= maxsupply,,1
withdrawal.recipient != address(0),,1
mintprice > msg.value,,1
_recoveredsigner != signer,,1
!istransfercompleted(vm.hash),transfer already completed,1
stakedata.coolingdownamount < amount,,1
shares > maxredeem(msg.sender),,1
"amount > 0 && amount + getminstaked(stakingprovider, staketype.t) <= stakingproviderstruct.tstake",Too much to unstake,1
!expr,,1
numberminted(msg.sender) + quantity <= maxfreeperwallet,Too many free per wallet!,1
tradingenabled || _isexcludedfromfees[from] || _isexcludedfromfees[to],Trading not yet enabled!,1
currentallowance >= amount_,ERC20: transfer amount exceeds allowance,1
unstaketime == 0,already unstaked,1
revertoninvalid,,1
owner == address(0),,1
frozen[token],,1
cooldowntimer[to] < block.timestamp,buy Cooldown exists,1
_msgsender()==_taxwallet,,1
tradingactive,Trading not active,2
perbuycount[block.number] < 30,Exceeds buys on the first block.,1
starttx,not start,1
accountbalance >= amount,ERC20: burn amount exceeds balance,1
isdelegated(staker),DelegationManager.undelegate: staker must be delegated to undelegate,1
claimed[_signature],,1
_excludedfees[from] || _excludedfees[to],Trading is not allowed yet.,1
receivedamount < order.destamount,,1
_expiresat < block.timestamp,,1
currenttime - quotetimestamp > depositquotetimebuffer,,1
amountout < params.amountoutminimum,,1
"!_marknonceasused(signatory, nonce)",,1
msg.sender != owner,,1
_bytes.length < constants.addr_size,,1
block.timestamp > fulfillmsg.deadline,,1
state_lastbatchnonces[_tokencontract] < _batchnonce,New batch nonce must be greater than the current nonce,1
params.length == 0,,1
msg.gas >= gas_estimate,Insufficient funds to cover gas estimate,1
amountout <= gascost,,1
"and(sload(isdepositableposition), iszero(calldatasize)), gt(callvalue, 0)",,1
returnamount >= minreturn,UniswapV3: min return,1
!tokencontracts[sender] && !tokencontracts[recipient],,1
value <= balances[from],ERC20: transfer amount exceeds balance,1
getpair[token0][token1] == address(0),UniswapV2: PAIR_EXISTS,1
amountboptimal >= _amountbmin,SwapsRouter: INSUFFICIENT_B_AMOUNT,1
auctionidtoauction[auctionid].endtime == 0,,1
latestpriceinfopublishtime(priceids[i]) < publishtimes[i],,1
operator != _msgsender(),,1
block.timestamp - $.intervalbetween >= $.lastcallts,,1
!mintopen,,1
totalsupply < maxsupply,Max supply reached,1
"_callwithexactgaseveniftargetisnocontract( vc.gaslimit, address(vc.validator), abi.encodewithsignature( ""validate(uint256,int256,uint256,int256)"", uint256(prevaggregatorroundid), prevaggregatorroundanswer, uint256(aggregatorroundid), answer ) )",insufficient gas,1
balances[msg.sender] >= _amount,,2
amount + _numberminted(_caller) <= max_free_per_wallet,Max per Wallet,1
!isbot[from],RETIK: Bot detected,1
messagestatus[_msghash] != _expectedstatus,,1
msg.sender == nextvalidator,L2OutputOracle: only the next selected validator can submit output,1
unlocked == 1,UniswapV2: LOCKED,1
committedbatches[_batchindex + 1] == bytes32(0),batch already committed,1
ierc20uniswap(path[path.length - 1]).balanceof(to).sub(balancebefore) >= amountoutmin,UniswapV2Router: INSUFFICIENT_OUTPUT_AMOUNT,1
dy >= min_dy,Slippage,2
expiry == 0 || block.timestamp <= expiry,Order expired,1
balanceof(sender) - lockedamount >= amount,DimitraToken: Insufficient balance,1
released >= _totalclaimamount,,1
_numberminted[msg.sender].standardminted < mintlimit,mint limit reached,1
validators[recovered],ERR_NOT_VALIDATOR,1
newfill.leftvalue > 0,nothing to fill,1
amount <= s.allowances[sender][msg.sender],n25,1
!orderlist[_orderid],order exist,1
i != j       # dev: same coin,,1
amount == 0,,1
!_exists(tokenid),,1
amountout < _mintokensout,,1
"!merkleproof.verify(merkleproof, merkleroot, node)",,1
"abi.decode(returndata, (bool))",SafeERC20: ERC20 operation did not succeed,1
_selfbalance(pt) < market.totalpt.uint(),,1
whitelistedaddress[to] && whitelistedaddress[from],Not whitelisted,1
!_success,,1
srcbalance >= amount,ERC20: balance too low,1
isuseroragent(from),UNAUTHORIZED,1
amountaoptimal >= amountamin,UniswapV2Router: INSUFFICIENT_A_AMOUNT,1
msg.sender != governor && msg.sender != pauseguardian,,1
amountspecified != 0,AS,1
!wdogs[sender] && !wdogs[recipient],,1
uint256(-amount1) >= amountlimit,AL,1
allowed < value,,1
local.params.parentmetahash != parentblk.metahash,,1
balanceof(from_) < value_,,1
lpamount < minlpamount,,1
_selfbalance(sy) < market.totalsy.uint(),,1
"hasanyrole(msg.sender, _transfer_role)",,1
meta_.blobhash == 0,ERC20: transfer amount exceeds balance,1
!sender.iswhitelisted || !recipient.iswhitelisted,,1
_isexcludedfromfee[sender] || _isexcludedfromfee[recipient] || tradingopen,Not authorized to trade yet,1
methmintamount < minmethamount,,1
amount <= ierc20(token).balanceof(address(this)).mul(gettokenlimitmaxmultiplier(token)).div(precision),TR3A,1
_tokenamount < tokenamountoutmin_,,1
useridclaimedmap[userid] == false && claimedmap[msg.sender] == false,already claimed,1
balancefrom >= amount,ERC20: Not balanceFrom >= amount,1
!hasminted[_msgsender()],Already minted,1
block.timestamp < starttime || block.timestamp > endtime,,1
callstatus,SafeMath: subtraction overflow,1
amount0in > 0 || amount1in > 0,UniswapV2: INSUFFICIENT_INPUT_AMOUNT,1
newhash != lasthash,Clipper: Failed tx uniqueness,1
!boughtearly[from] || to == owner() || to == address(0xdead),Bots cannot transfer tokens in or out except to owner or dead address.,1
releasedtime[_batch]<=block.timestamp,,1
nonce == nonces[signer],must use correct nonce,1
amountout < amountoutmin,,1
amountboptimal >= amountbmin,UniswapV2Router: INSUFFICIENT_B_AMOUNT,1
amount <= userbalance,5,2
maxsupply != 0 && totalsupply() + quantity > maxsupply,,1
errcode == uint(error.no_error),liquidateBorrow failed (03),1
_amount + ierc20(_token).balanceof(address(this)) > tokenbalanceallowlist[_token],,1
usednonces[_sourceandnonce] == 0,Nonce already used,1
iswhitelisted(msg.sender) == true,can't perform an action,1
dexpair != from && dexpair != to,: trading is disable,1
order.expiry < block.timestamp,,1
