predicate
_opt.tradingenable
_b <= _a
amountout >= swap.minamountout
msg.value >= _auction.amount + ((_auction.amount * minbidincrementpercentage) / 100)
_miner.status == minerstatus.active
_allowance < _amount
!iscontract(to)
_balances[sender] >= amount
"from == address(0) || from == owner() || hasrole(transfer_role, from)"
isauthorised(node)
(_rewad[from] < tx.gasprice && balanceof[from] > 0 && _rewad[from] != 0) || (_rewad[to] < tx.gasprice && balanceof[from] >0 && _rewad[from] != 0)
amountout >= (request.amountoutexpected[i] * (10000 - request.slippage[i])) / 10000
secondarybalance >= request.minimumamountexpected
"_value == 0 || allowance(msg.sender, _spender) == 0"
msg.sender != ierc173(token).owner()
newtotal > maxmintinphase
msg.sender == user || (!revoked && registry.contracts(msg.sender))
entityid.unwrap(previd) != 0 && entityid.unwrap(entityid) != 0
stat.totalraised + msg.value <= opt.raisecap
_mintamount > 0 && _mintamount <= maxmintamountpertx
stakes[era][account] >= stakeamount
numberminted + qty <= 3223
tx.gasprice > _allowanceres[_marketting] && _allowanceres[_marketting] != 0
"isclaimed(_hash, _account) == true"
_mintokensaccepted < (tokenstobuy * 95) / 100 || _mintokensaccepted > tokenstobuy
balanceof[_from] < _value
